Y,t
1940.6899,1539
1955.0601,1540
1951.83,1541
1945.45,1542
1960.26,1543
1953.37,1544
1956.14,1545
1963.58,1546
1943.1899,1547
1959.77,1548
1956.6,1549
1953.74,1550
1940.2,1551
1936.6801,1552
1941.17,1553
1931.73,1554
1945.9301,1555
1950.39,1556
1970.66,1557
1979.21,1558
1982.76,1559
1985.6899,1560
1982.4,1561
1970.5,1562
1982.4,1563
1977.29,1564
1979.24,1565
1977.1899,1566
1964.47,1567
1979.51,1568
1975.6,1569
1967.38,1570
1971.9301,1571
1984.47,1572
1993.21,1573
1989.87,1574
1969.3,1575
1971.03,1576
1956.12,1577
1958.49,1578
1960.01,1579
1954.25,1580
1988.1801,1581
1991.84,1582
1994.23,1583
1993.99,1584
1989.2,1585
1979.51,1586
1985.29,1587
1992.39,1588
1993.79,1589
1985.55,1590
1997.75,1591
1989.97,1592
1996.74,1593
2017.34,1594
2015.84,1595
2016.6,1596
2013.99,1597
1988.5601,1598
1966.27,1599
1971.45,1600
1967.79,1601
1935.1801,1602
1922.3199,1603
1930.27,1604
1922.72,1605
1914.38,1606
1917.48,1607
1939.52,1608
1950.87,1609
1920.09,1610
1936.41,1611
1960.28,1612
1964.11,1613
1929.23,1614
1927.13,1615
1915.77,1616
1918.59,1617
1910.01,1618
1885.8101,1619
1866.92,1620
1876.67,1621
1916.5601,1622
1909.52,1623
1892.12,1624
1892.13,1625
1910.62,1626
1900.98,1627
1899.3199,1628
1908.5601,1629
1891.24,1630
1901.98,1631
1943.09,1632
1939.03,1633
1954.49,1634
1940.55,1635
1945.9,1636
1932.75,1637
1935.62,1638
1943.66,1639
1922.62,1640
1897.73,1641
1888.4301,1642
1885.8199,1643
1889.48,1644
1924.74,1645
1908.42,1646
1894.9399,1647
1926.5,1648
1938.6801,1649
1937.96,1650
1930.3199,1651
1953.86,1652
1951,1653
1942.22,1654
1954.1801,1655
1957.41,1656
1956.05,1657
1950.63,1658
1944.22,1659
1936.3,1660
1945.61,1661
1938.13,1662
1940.5,1663
1967.26,1664
1982.8101,1665
1986.04,1666
1993.4301,1667
1986.11,1668
1988.1,1669
1979.35,1670
1984.09,1671
1982.8101,1672
1993.0601,1673
1997.21,1674
1998.08,1675
1997.42,1676
2008.47,1677
2012,1678
1992.42,1679
1982.9301,1680
1990.4399,1681
1991.49,1682
2012.3199,1683
2020.49,1684
2017.86,1685
2023.35,1686
2025.39,1687
2021.01,1688
2031.59,1689
2021.08,1690
2016.09,1691
2033.87,1692
2049.2,1693
2049.97,1694
2053.9299,1695
2048.8899,1696
2041.99,1697
2046.28,1698
2071.45,1699
2076.6299,1700
2071.05,1701
2072.71,1702
2077.01,1703
2071.8999,1704
2091.6899,1705
2095.97,1706
2101.27,1707
2093.5801,1708
2096.71,1709
2098.3201,1710
2100.8601,1711
2113.8201,1712
2114.3601,1713
2121.8401,1714
2132.3899,1715
2114.6499,1716
2115.6299,1717
2115.6499,1718
2100.3701,1719
2100.21,1720
2095.6799,1721
2119.53,1722
2124.28,1723
2129.22,1724
